Movie Tittle,Year,Score,Consensus,Director,Cast
Escape from New York,1981,86,"Featuring an atmospherically grimy futuristic metropolis, Escape from New York is a strange, entertaining jumble of thrilling action and oddball weirdness.",John Carpenter,"Kurt Russell, Lee Van Cleef, Ernest Borgnine, Donald Pleasence"
Battle Royale,2000,87,"Battle Royale is a controversial and violent parable of adolescence, heightening teenage melodrama with life-or-death stakes.",Kinji Fukasaku,"Aki Maeda, Ai Iwamura, Chiaki Kuriyama, Tatsuya Fujiwara"
Spider-Man 2,2004,93,"Boasting an entertaining villain and deeper emotional focus, this is a nimble sequel that improves upon the original.",Sam Raimi,"Tobey Maguire, Kirsten Dunst, James Franco, Alfred Molina"
13 Assassins,2011,95,"Takashi Miike's electric remake of Eiichi Kudo's 1963 period action film is a wild spectacle executed with killer, dizzying panache.",Takashi Miike,"Koji Yakusho, Takayuki Yamada, Yusuke Iseya, Goro Inagaki"
Full Contact,1992,88,No consensus yet.,Ringo Lam,"Yun-Fat Chow, Simon Yam, Ann Bridgewater, Anthony Wong"
Indiana Jones and the Last Crusade,1989,89,"Lighter and more comedic than its predecessor, Indiana Jones and the Last Crusade returns the series to the brisk serial adventure of Raiders, while adding a dynamite double act between Harrison Ford and Sean Connery.",Steven Spielberg,"Harrison Ford, Sean Connery, Alison Doody, Denholm Elliott"
Kung Fu Hustle,2005,90,"Kung Fu Hustle blends special effects, martial arts, and the Looney Toons to hilarious effect.",Stephen Chow,"Stephen Chow, Wah Yuen, Shengyi Huang, Kwok-Kwan Chan"
A Better Tomorrow,2010,93,No consensus yet.,Hae-sung Song,"Yun-Fat Chow, Leslie Cheung, Lung Ti, Young Pao I"
Iron Man,2008,94,"Powered by Robert Downey Jr.'s vibrant charm, Iron Man turbo-charges the superhero genre with a deft intelligence and infectious sense of fun.",,"Robert Downey Jr., Terrence Howard, Jeff Bridges, Gwyneth Paltrow"
The Night Comes For Us,2018,90,"A bloody thrill ride designed to test the limits of more squeamish viewers, The Night Comes for Us wields a stylishly violent, action-packed punch.",Timo Tjahjanto,"Joe Taslim, Iko Uwais, Julie Estelle, Sunny Pang"
Logan,2017,93,"Hugh Jackman makes the most of his final outing as Wolverine with a gritty, nuanced performance in a violent but surprisingly thoughtful superhero action film that defies genre conventions.",James Mangold,"Hugh Jackman, Patrick Stewart, Boyd Holbrook, Stephen Merchant"
Goldfinger,1964,98,"Goldfinger is where James Bond as we know him comes into focus - it features one of 007's most famous lines (""A martini. Shaken, not stirred"") and a wide range of gadgets that would become the series' trademark.",Guy Hamilton,"Sean Connery, Gert Fröbe, Honor Blackman, Shirley Eaton"
Assault on Precinct 13,1976,98,"Lean, taut and compellingly gritty, John Carpenter's loose update of Rio Bravo ranks as a cult action classic and one of the filmmaker's best.",John Carpenter,"Austin Stoker, Darwin Joston, Gilbert De la Pena, Laurie Zimmer"
Wonder Woman,2017,93,"Thrilling, earnest, and buoyed by Gal Gadot's charismatic performance, Wonder Woman succeeds in spectacular fashion.",Patty Jenkins,"Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright"
Fist of Fury (Jing wu men),1972,92,No consensus yet.,Lo Wei,"Bruce Lee, Miao Ker Hsiu, James Tien, Robert Baker"
Captain America: The Winter Soldier,2014,90,"Suspenseful and politically astute, Captain America: The Winter Soldier is a superior entry in the Avengers canon and is sure to thrill Marvel diehards.",Joe Russo,"Chris Evans, Samuel L. Jackson, Scarlett Johansson, Anthony Mackie"
Oldboy,2005,82,"Violent and definitely not for the squeamish, Park Chan-Wook's visceral Oldboy is a strange, powerful tale of revenge.",Park Chan-wook,"Choi Min-sik, Gang Hye-jeong, Yoo Ji-tae, Gang Hye-jung"
The French Connection,1971,98,"Realistic, fast-paced and uncommonly smart, The French Connection is bolstered by stellar performances by Gene Hackman and Roy Scheider, not to mention William Friedkin's thrilling production.",William Friedkin,"Gene Hackman, Fernando Rey, Roy Scheider, Marcel Bozzuffi"
